Lesson,Front,Back,Example,Translation
e13-l3,froh,happy,"Ich bin so froh, dass du da warst."," ""I am so happy that you were there."""
e13-l3,Architektur,architecture,Die Architektur des Gebäudes ist beeindruckend.," ""The architecture of the building is impressive."""
e13-l3,auswandern,to emigrate,Viele Menschen sind in der Vergangenheit ausgewandert.," ""Many people emigrated in the past."""
e13-l3,Komponistin,composer (female)," ""Die Komponistin schrieb viele Opern."""," ""The composer wrote many operas."""
e13-l4,Publikum,public; audience,Das Publikum war begeistert von der Aufführung.,The audience was enthusiastic about the performance.
e13-l4,Aufführung,recital; performance,Die Aufführung beginnt um 20 Uhr.,The performance starts at 8 pm.
e13-l4,populär,popular,"Ja, aber die Sängerin ist ziemlich populär.","Yes, but the singer is quite popular."
e13-l4,Ticket,ticket,Ich habe die Tickets online gekauft.,I bought the tickets online.
e13-l4,ausverkauft,sold out,"Ich denke, die Tickets sind ausverkauft.",I think the tickets are sold out.
e13-l4,Eintritt frei,free admission,Heute Abend ist der Eintritt frei.,Tonight the admission is free.
e13-l4,Karte,ticket,Ich brauche noch eine Karte für das Theater.,I still need a ticket for the theater.
e13-l4,Theaterstück,theater piece; play,Der Schauspieler spielt in einem bekannten Theaterstück.,The actor performs in a well-known play.
e13-l4,Reihe,row,Unsere Plätze sind in der dritten Reihe.,Our seats are in the third row.
e13-l4,Rockmusik,rock music,Ich höre gern Rockmusik.,I like to listen to rock music.
e13-l4,Volksmusik,folk music,Im Heimathaus gibt’s Volksmusik …,There's folk music in the Heimathaus...
e13-l4,Club,club,Dann hier … Rockmusik im Club.,Then here... rock music in the club.
e13-l4,Platz,seat,Ist dieser Platz noch frei?,Is this seat still free?
e13-l4,Rollstuhlfahrer,wheelchair user (male),Der Rollstuhlfahrer hat einen guten Platz im Theater.,The wheelchair user has a good seat in the theatre.
e13-l4,Stehplatz,standing room; standing place,Für das Konzert gibt es nur noch Stehplätze.,For the concert there are only standing places left.
e13-l4,Abendkasse,box office,Gibt es keine Tickets an der Abendkasse?,Are there no tickets at the box office?
e13-l4,Sitzplatz,seat,Wir haben Sitzplätze in der Mitte.,We have seats in the middle.
e13-l4,Parkett,stalls (lower flat seating area in a theater),Wir haben Plätze im Parkett reserviert.,We have reserved seats in the stalls.
e13-l4,Rollstuhlfahrerin,wheelchair user (female),Die Rollstuhlfahrerin braucht Hilfe am Eingang.,The wheelchair user needs help at the entrance.
e13-l4,Vorverkaufsstelle,ticket box office,Die Vorverkaufsstelle ist gleich um die Ecke.,The ticket box office is just around the corner.
e13-l4,Rang,dress circle; grand circle (seating platform above or behind the stalls in a theater),Die Plätze im Rang sind etwas teurer.,The seats in the dress circle are a bit more expensive.
e13-l4,Vorverkauf,advanced sale; advanced ticketing,Die Tickets gibt es nur im Vorverkauf.,The tickets are only available in advance sale.
e13-l4,Musical,musical,Es gibt noch ein Musical oder wir können ins Theater gehen.,There is still a musical or we can go to the theater.
e13-l4,gratis,free,Das Konzert ist gratis.,The concert is free.
e14-l1,mal sehen,we’ll see…,Mit wem willst du denn Valentinstag feiern? - Mal sehen.," ""Who do you want to celebrate Valentine's Day with? - We'll see."""
e14-l1,die Verliebte,lover (female),Die Verliebte war über die Überraschung sehr glücklich.,The lover was very happy about the surprise.
e14-l1,deutschsprachig,German-speaking,Die deutschsprachige Gemeinschaft traf sich zum jährlichen Fest.,The German-speaking community met for the annual festival.
e14-l1,der Valentinstag,Valentine’s Day,Außerdem wollen wir noch St. Patrick’s Day feiern und Valentinstag.,"Besides, we also want to celebrate St. Patrick's Day and Valentine's Day."
e14-l1,der Weihnachtsbaum,Christmas tree,Wir haben dieses Jahr einen besonders großen Weihnachtsbaum.,We have a particularly large Christmas tree this year.
e14-l1,das Osterei,Easter egg,Die Kinder suchen am Ostersonntag Ostereier im Garten.,The children search for Easter eggs in the garden on Easter Sunday.
e14-l1,das Oktoberfest,October Festival; October Beer Festival,Das Oktoberfest in München ist weltbekannt.,The Oktoberfest in Munich is world-famous.
e14-l1,der Kürbis,pumpkin; squash,"Oh, dann müsst ihr ’ne Menge Kürbisse besorgen ... weil Halloween ohne Kürbisse kein Halloween ist, oder?","Oh, then you have to get a lot of pumpkins ... because Halloween without pumpkins is not Halloween, right?"
e14-l1,etwas hin|kriegen,to manage; pull something off,"Ja, wir kriegen das schon hin mit den Kürbissen.","Yes, we'll manage the pumpkins."
e14-l1,der Karneval,carnival; Mardi Gras,In Köln wird jedes Jahr ein großer Karneval gefeiert.,A big carnival is celebrated in Cologne every year.
e14-l1,sich verkleiden,to get dressed up,Kinder verkleiden sich gerne zu Karneval.,Children like to dress up for Carnival.
e14-l1,der Geist,ghost,In alten Geschichten spukt oft ein Geist in einem Schloss.,"In old stories, a ghost often haunts a castle."
e14-l1,der Osterhase,Easter bunny,Der Osterhase bringt die Ostereier.,The Easter bunny brings the Easter eggs.
e14-l1,der Brauch,custom; practice,"Es ist ein Brauch in unserer Familie, dass wir jedes Jahr zusammen kochen.",It is a custom in our family that we cook together every year.
e14-l1,die Auswanderin,emigrant (female),Die Auswanderin erzählte von ihrer Ankunft in der neuen Stadt.,The emigrant told about her arrival in the new city.
e14-l1,der Auswanderer,emigrant (male),Viele Auswanderer suchen ein besseres Leben in einem anderen Land.,Many emigrants seek a better life in another country.
e14-l1,(das) Weihnachten,Christmas,Der Weihnachtsbaum ist geschmückt für Weihnachten.,The Christmas tree is decorated for Christmas.
e14-l1,(das) Silvester,New Year's Eve,Viele Leute feiern Silvester mit Feuerwerk.,Many people celebrate New Year's Eve with fireworks.
e14-l1,(das) Ostern,Easter,Wir verbringen Ostern bei unseren Eltern.,We're spending Easter with our parents.
e14-l1,das Symbol,symbol,Der Stern ist ein Symbol für Weihnachten.,The star is a symbol for Christmas.
e14-l1,der Verliebte,lover (male),Ein Verliebter schenkte seiner Freundin Blumen zum Valentinstag.,A lover gave his girlfriend flowers for Valentine's Day.
e14-l2,an etwas/jemanden denken,to think of something/somebody,Ich denke oft an meine Familie.,I often think of my family.
e14-l2,der Raum,room; area; space,Das Zimmer ist ein großer Raum.,The room is a large space.
e14-l2,der Nationalfeiertag,national holiday,Der Nationalfeiertag wird mit einer Parade gefeiert.,The national holiday is celebrated with a parade.
e14-l2,die Prinzessin,princess,Die Prinzessin tanzt mit dem Prinzen.,The princess is dancing with the prince.
e14-l2,der Prinz,prince,Der Prinz heiratet die Prinzessin.,The prince marries the princess.
e14-l2,sich verhalten,to behave,Du musst dich hier ruhig verhalten.,You have to behave quietly here.
e14-l2,das Viertel,quarter; neighborhood,Ich wohne in einem schönen Viertel der Stadt.,I live in a nice neighborhood of the city.
e14-l2,das Volksfest,fair; folk festival,Wir feiern ein deutsches Volksfest.,We are celebrating a German folk festival.
e14-l2,die Lederhose,lederhosen (literally: leather pants),Er trägt eine Lederhose auf dem Oktoberfest.,He wears lederhosen at the Oktoberfest.
e14-l2,das Dirndl,dirndl dress; a German traditional feminine dress,Sie trägt ein schönes Dirndl auf dem Oktoberfest.,She is wearing a beautiful dirndl at the Oktoberfest.
e14-l2,spinnen,to talk rubbish; to be mad (informal),"Sag mal, spinnst du?",Are you mad?
e14-l2,aus der Region,regional; from the region,Wir bieten Weine aus der Region an.,We offer wines from the region.
e14-l3,sich aus etwas raushalten,to stay out of something,"Lisa, halt dich doch einfach mal da raus!","Lisa, just stay out of it!"
e14-l3,verantwortungslos,irresponsible,"Ich halte mich bestimmt nicht raus, wenn du so verantwortungslos bist.",I'm certainly not staying out of it if you're so irresponsible.
e14-l3,der Frauenarzt,gynocologist; OB/GYN (male),Du musst zum Frauenarzt gehen.,You have to go to the gynecologist.
e14-l3,die Untersuchung,examination; check-up,Du musst die Untersuchung machen lassen.,You have to get the check-up done.
e14-l3,etwas/jemanden verlassen,to leave something/someone,Dario hat mich verlassen!,Dario left me!
e14-l3,die Frauenärztin,gynocologist; OB/GYN (female),Die Frauenärztin hat heute keine Sprechstunde.,The female gynecologist has no consultation hours today.
e14-l3,der Sex,sex; sexual intercourse,Manche Menschen passen beim Sex besser auf.,Some people are more careful during sex.
e14-l3,jemanden etwas angehen,to be of concern to someone,Das geht dich überhaupt nichts an!,That's none of your business!
e14-l3,aufpassen,to be careful; to take care,Manche Menschen passen beim Sex besser auf.,Some people are more careful during sex.
e14-l3,jemanden zu etwas begleiten,to accompany someone to something,"Aber wenn es darum geht, mich zu Untersuchungen zu begleiten, dann hältst du dich gerne raus.","But when it comes to accompanying me to examinations, then you like to stay out."
e14-l3,scheiße,shit; shitty,"Entschuldigung, das war scheiße!","Sorry, that was shitty!"
e14-l4,sich (über etwas/jemanden) auf|regen,to get worked up (about something/somebody),Zum Glück haben sie sich selten über die laute Musik aufgeregt.,"Luckily, they rarely got worked up about the loud music."
e14-l4,etwas mit|machen,to go through something,Unsere Nachbarn haben einiges mitgemacht.,Our neighbors went through a lot.
e14-l4,übernächster,the one after next...,Die übernächste Woche fahre ich in den Urlaub.,I'm going on vacation the week after next.
e14-l4,brav,good; well-behaved,Ich war immer brav.,I was always well-behaved.
e14-l4,der Sonnenaufgang,sunrise,Wir sind bis zum Sonnenaufgang geblieben.,We stayed until sunrise.
e14-l4,jemanden zu etwas ein|laden,to invite someone to something,Ich möchte dich zu meiner Party einladen.,I would like to invite you to my party.
e14-l4,herzlich,sincere; warm; cordial,Wir laden dich herzlich ein.,We cordially invite you.
e14-l4,jemandem etwas sagen,to say something to someone; to tell someone something,Ich muss dir etwas sagen.,I have to tell you something.
e14-l4,mit jemandem feiern,to celebrate with someone,Wir haben gestern mit unseren Freunden gefeiert.,We celebrated with our friends yesterday.
e14-l4,der Sonnenuntergang,sunset,Der Sonnenuntergang am Meer war wunderschön.,The sunset at the sea was beautiful.
e14-l4,etwas/jemanden verwechseln,to confuse something/someone,Ich habe dich mit deinem Bruder verwechselt.,I confused you with your brother.
e15-l1,jemandem etwas zeigen,to show something to someone,Ich zeige dir mein neues Fahrrad.,I'll show you my new bicycle.
e15-l1,die Taufe,baptism; christening,Wir gehen zur Taufe meines Neffen.,We are going to my nephew's baptism.
e15-l1,sich trauen,to dare to do something,Ich traue mich nicht zu springen.,I don't dare to jump.
e15-l1,jemandem etwas schenken,to give someone something (a present),Ich schenke dir einen Stift.,I'm giving you a pen.
e15-l1,die DVD,DVD,Ich schenke ihr eine DVD.,I'm giving her a DVD.
e15-l1,jemandem etwas geben,to give something to someone,Ich gebe dir das Buch.,I give you the book.
e15-l1,jemandem etwas bringen,to bring something to someone,Ich bringe dir ein Geschenk.,I'm bringing you a gift.
e15-l1,Alles Gute!,Best wishes!,Alles Gute zum Geburtstag!,Best wishes for your birthday!
e15-l1,wer,who,Wer kommt zur Party?,Who is coming to the party?
e15-l1,wem,whom,Wer schenkt wem was?,Who is giving what to whom?
e15-l1,der Glückwunsch,congratulations,Herzlichen Glückwunsch zum Geburtstag!,Happy Birthday! (heartfelt congratulations)
e15-l1,was,what,Was schenkst du deinem Vater?,What are you giving to your father?
e15-l1,Geburtstag,birthday,Wann hast du denn Geburtstag?,When is your birthday?
e15-l1,einladen,to invite,Ich lade dich ein.,I invite you.
e15-l1,eislaufen,ice skating,Ich würde gerne eislaufen gehen.,I would like to go ice skating.
e15-l1,zum ersten Mal,for the first time,Das habe ich noch nie gemacht.,I have never done that before. (That's the first time I did it)
e15-l2,schrecklich,awful,Das Wetter ist schrecklich.," ""The weather is awful."""
e15-l2,passend,suitable; fitting; right,Das Geschenk ist sehr passend.," ""The gift is very fitting."""
e15-l2,Gutschein,voucher; gift certificate,Ich habe einen Gutschein für ein Restaurant.," ""I have a voucher for a restaurant."""
e15-l2,preiswert,cheap; inexpensive,Bis dahin musst du deinen Freundinnen eben preiswerte Geschenke kaufen.,"Until then, you have to buy your friends cheap presents."
e15-l2,reduziert,discounted; reduced,Die Schuhe sind reduziert.," ""The shoes are discounted."""
e15-l2,Spielzeug,toy,Das Spielzeug ist für mein Kind.," ""The toy is for my child."""
e15-l2,etwas herausfinden,to discover; to find something out,Ich finde es heut noch heraus!," ""I'll find it out today!"""
e15-l2,gebraucht,used,Ich schenke ihr ein gebrauchtes Fahrrad.," ""I'm giving her a used bicycle."""
e15-l2,jemanden überraschen,to surprise someone,Ich möchte Selma überraschen.,I want to surprise Selma.
e15-l2,mit anpacken,to participate; to get your hands dirty; to get involved,Und jetzt pack mit an!," ""And now get involved!"""
e15-l2,Massage,massage,Sie bekommt eine Massage zum Geburtstag.," ""She gets a massage for her birthday."""
e15-l2,Putzmittel,cleaning solution; cleaner,Das Putzmittel ist im Schrank.," ""The cleaning solution is in the cupboard."""
e15-l2,Praline,praline,Er hat ihr eine Praline geschenkt.," ""He gave her a praline as a gift."""
e15-l2,Parfüm,perfume; fragrance,Das Parfüm riecht sehr gut.," ""The perfume smells very good."""
e15-l2,Seife,soap,Die Seife riecht gut.," ""The soap smells good."""
e15-l2,Werbegeschenk,giveaway; promotional gift,Das ist ein Werbegeschenk.," ""That is a promotional gift."""
e15-l2,Schmuck,jewelry,Sie mag schönen Schmuck.," ""She likes beautiful jewelry."""
e15-l3,die Einweihungsparty,house-warming party,Wir feiern eine Einweihungsparty für unsere neue Wohnung.,We're having a house-warming party for our new apartment.
e15-l3,die Religion,religion,Religion ist ein wichtiges Thema in vielen Kulturen.,Religion is an important topic in many cultures.
e15-l3,der Muttertag,Mother's Day,Wir feiern den Muttertag mit einem großen Frühstück.,We're celebrating Mother's Day with a big breakfast.
e15-l3,das Thema,issue; topic,Das Thema ist sehr interessant.,The topic is very interesting.
e15-l3,die Gelegenheit,opportunity,Das ist die Gelegenheit für meine Idee.,That's the opportunity for my idea.
e15-l3,der Kloß,German boiled dumplings,Roulade mit Rotkraut und Klößen?,Roulade with red cabbage and dumplings?
e15-l3,der Vorschlag,proposal,Ich habe einen Vorschlag für unser nächstes Projekt.,I have a proposal for our next project.
e15-l3,die Politik,politics,Über Politik sprechen wir heute nicht.,We are not talking about politics today.
e15-l3,die Wellness,wellness; well-being,Ich gehe am Wochenende zur Wellness.,I'm going to wellness this weekend.
e15-l3,blöd,stupid,So blöd ist er nicht.,He's not that stupid.
e15-l3,der Blumenstrauß,bouquet of flowers; bunch of flowers,Ich habe einen schönen Blumenstrauß gekauft.,I bought a beautiful bouquet of flowers.
e15-l4,der Feiertag,holiday; public holiday,Weihnachten ist ein wichtiger Feiertag in Deutschland.,Christmas is an important public holiday in Germany.
e15-l4,etwas verschenken,to give something as a gift,Wir haben viele Geschenke verschenkt.,We gave away many gifts.
e15-l4,das Christkind,Christ Child; baby Jesus,Brachte bei euch der Weihnachtsmann oder das Christkind die Geschenke?,Did Santa Claus or the Christ Child bring the presents to you?
e15-l4,etwas schmücken,to decorate something,Wir haben jedes Jahr im Advent den Weihnachtsbaum geschmückt.,We decorated the Christmas tree every year in Advent.
e15-l4,mal,sometime; times,Manchmal gehen wir zusammen ins Kino.,Sometimes we go to the cinema together.
e15-l4,gefärbt,dyed,Gab es bei euch zu Ostern auch bunt gefärbte Eier?,Did you also have brightly dyed eggs at Easter?
e15-l4,weinen,to cry,"Ich habe so geweint, dass meine Eltern nie wieder einen Hasenbraten gemacht haben.",I cried so much that my parents never made roast rabbit again.
e15-l4,etwas/jemanden verstecken,to hide something/someone,Meine Eltern haben die Eier im Garten versteckt.,My parents hid the eggs in the garden.
e15-l4,die Stimmung,mood; atmosphere,Die Stimmung auf der Party war gut.,The mood at the party was good.
e15-l4,der Stollen,fruit loaf; Christmas fruit loaf,Wir essen jedes Jahr im Advent Stollen.,We eat Stollen every year in Advent.
e15-l4,der Advent,advent,Wir zünden die Kerzen am Adventskranz im Advent an.,We light the candles on the Advent wreath in Advent.
e15-l4,woanders,somewhere else; elsewhere,Wir könnten auch woanders Urlaub machen.,We could also go on vacation somewhere else.
e15-l4,der Weihnachtsmann,Santa Claus; Father Christmas; Kris Kringle,Viele Kinder freuen sich auf den Weihnachtsmann.,Many children look forward to Santa Claus.
e15-l4,vor allem,especially; in particular,"Ich mag Schokolade, vor allem dunkle Schokolade.","I like chocolate, especially dark chocolate."
e15-l4,der Adventskranz,advent wreath,Wir haben einen Adventskranz mit vier Kerzen.,We have an Advent wreath with four candles.
e15-l4,elektronisch,electronic/electronically,Ich habe eine elektronische Nachricht erhalten.,I received an electronic message.
e15-l4,der Wunschzettel,wish list,Ich schreibe einen Wunschzettel für Weihnachten.,I am writing a wish list for Christmas.
e15-l4,sich etwas fragen,to ask oneself something,"Ich frage mich, ob ich das richtig gemacht habe.",I ask myself if I did that right.
e15-l4,feierlich,festive; celebratory,Die Stimmung war sehr feierlich.,The atmosphere was very festive.
e16-l1,jemandem wird schlecht,someone feels sick; someone feels ill,Mir wird schlecht wenn ich so schnell fahre.,I feel sick when I drive so fast.
e16-l1,die Maskenbildnerin,makeup artist (female),Die Maskenbildnerin ist sehr talentiert.,The makeup artist is very talented.
e16-l1,die Filmbranche,film industry,Er arbeitet in der Filmbranche.,He works in the film industry.
e16-l1,der Clown,clown (male),Der Clown brachte die Kinder zum Lachen.,The clown made the children laugh.
e16-l1,die Schminke,makeup,Sie hat viel Schminke benutzt.,She used a lot of makeup.
e16-l1,der Kameramann,cameraman; camera operator (male),Der Kameramann richtet die Kamera aus.,The cameraman is aligning the camera.
e16-l1,(etwas) filmen,to film (something),Sie filmen eine neue Szene.,They are filming a new scene.
e16-l1,fasziniert,fascinated,Ich bin von diesem Film fasziniert.,I am fascinated by this movie.
e16-l1,die Serie,series,Ich liebe Serien!,I love series!
e16-l1,etwas aufnehmen,to record something,Wir nehmen den Gesang für das Lied auf.,We are recording the vocals for the song.
e16-l1,der Praktikant,intern (male),Der Praktikant hilft dem Team.,The intern is helping the team.
e16-l1,die Clownin,clown (female),Die Clownin jonglierte mit Bällen.,The clown juggled balls.
e16-l1,das Mikrofon,microphone,Bitte sprich näher in das Mikrofon.,Please speak closer to the microphone.
e16-l1,die Kamerafrau,camerawoman; camera operator (female),Die Kamerafrau hat eine tolle Aufnahme gemacht.,The camerawoman made a great shot.
e16-l1,etwas aufführen,to perform something,Das Theater führt ein neues Stück auf.,The theater is performing a new play.
e16-l1,die Regisseurin,director (female),Die Regisseurin erklärt die nächste Einstellung.,The director explains the next shot.
e16-l1,der Ton,sound,Der Ton ist zu leise.,The sound is too quiet.
e16-l1,der Regisseur,director (male),Der Regisseur ist mit der Szene zufrieden.,The director is satisfied with the scene.
e16-l1,die Dokumentation,documentary,Ich schau am liebsten Dokumentationen.,I prefer to watch documentaries.
e16-l1,das Gesicht,face,Ihr Gesicht war voller Freude.,Her face was full of joy.
e16-l1,(etwas) drehen,to film (something); (literally: to turn),Ein Team dreht hier bald eine aktuelle Serie fürs Fernsehen.,A team will soon be filming a current series for television here.
e16-l1,die Praktikantin,intern (female),Die Praktikantin hat eine neue Aufgabe bekommen.,The intern received a new task.
e16-l1,der Maskenbildner,makeup artist (male),Der Maskenbildner hat die Schauspieler geschminkt.,The makeup artist did the actors' makeup.
e16-l1,der Quatsch,nonesense; trash,Das ist doch Quatsch!,That's nonsense!
e16-l1,der Gesang,song; singing,Ihr Gesang war wunderschön.,Her singing was beautiful.
e16-l1,etwas/jemanden verändern,to change something/somebody,Diese Erfahrung hat mich verändert.,This experience has changed me.
e16-l1,die Emotion,emotion,Der Film hat viele Emotionen ausgelöst.,The film evoked many emotions.
e16-l1,jemandem begegnen,to meet someone; to come across someone; to encounter someone,Ich bin ihr gestern auf der Straße begegnet.,I met her on the street yesterday.
e16-l1,die Tonassistentin,sound assistant; boom operator (female),Die Tonassistentin überprüft den Ton.,The sound assistant is checking the sound.
e16-l1,der Tonassistent,sound assistant; boom operator (male),Der Tonassistent hält das Mikrofon.,The sound assistant is holding the microphone.
e16-l1,das Aussehen,appearance; looks,Sein Aussehen hat sich verändert.,His appearance has changed.
e16-l1,die Mimik,facial expression; mimic,Seine Mimik war sehr lustig.,His facial expression was very funny.
e16-l1,die Gestik,gesture,Seine Gestik war sehr ausdrucksstark.,His gesture was very expressive.
e16-l2,Worum geht es in dem Film?,What is the movie about?,Worum geht es in dem Film?," ""What is the movie about?"""
e16-l2,tätig sein,to work; to act (as); to be active (as),Ab nächster Woche bist du offiziell in der Filmbranche tätig.,"From next week on, you'll officially be working in the film industry."
e16-l2,Tragödie,tragedy,Die Tragödie handelt von einem König.," ""The tragedy is about a king."""
e16-l2,Filmgenre,film genre,Welches Filmgenre magst du am liebsten?,Which film genre do you like the most?
e16-l2,Drehbuch,screenplay; script,Ich schreibe gerade ein Drehbuch für einen Kurzfilm.," ""I am currently writing a screenplay for a short film."""
e16-l2,Drama,drama; play,Das Drama ist sehr bewegend.," ""The drama is very moving."""
e16-l2,Elefant,elephant,Der Zirkus hatte einen Elefanten in der Manege.,The circus had an elephant in the ring.
e16-l2,Thriller,thriller; suspense,Ich finde Thriller sehr aufregend.," ""I find thrillers very exciting."""
e16-l2,Kommissar,police inspector; commissioner (male),"In der Serie geht es um einen Kommissar, der mit seinem Gegner zusammenarbeiten muss.",The series is about a police inspector who has to work together with his opponent.
e16-l2,Buchverfilmung,film adaptation,Die Serie ist also eine Buchverfilmung.," ""So the series is a film adaptation."""
e16-l2,Kommissarin,police inspector; commissioner (female),Die Kommissarin löst jeden Fall.,The police inspector solves every case.
e16-l2,Komödie,comedy,Es ist eine Krimikomödie.,It's a crime comedy.
e16-l2,laufen,to run; to be on (TV),Ich schau die Serie eigentlich ganz gern – wenn gerade keine Dokus laufen.," ""I actually quite like watching the show - if no documentaries are running."""
e16-l2,ausdrucksstark,expressive,Der Schauspieler war sehr ausdrucksstark in seiner Rolle.," ""The actor was very expressive in his role."""
e16-l2,Blindheit,blindness,Die Blindheit des Protagonisten ist ein zentrales Thema des Films.," ""The protagonist's blindness is a central theme of the film."""
e16-l2,komisch,funny; strange,Meistens ist das sehr komisch.,Mostly that is very funny.
e16-l2,Handlung,plot,Die Handlung des Films ist sehr kompliziert.,The plot of the film is very complicated.
e16-l2,Science-Fiction-Film,science fiction film,Ich liebe Science-Fiction-Filme mit Raumschiffen.," ""I love science fiction movies with spaceships."""
e16-l2,Actionfilm,action movie,Ich mag den neuen Actionfilm im Kino.," ""I like the new action movie in the cinema."""
e16-l2,Schicksal,destiny; fate,Das Schicksal der Hauptfigur ist sehr tragisch.," ""The destiny of the main character is very tragic."""
e16-l2,Operation,operation,Die Operation war erfolgreich.," ""The operation was successful."""
e16-l2,romantisch,romantic,Der Film ist sehr romantisch.," ""The film is very romantic."""
e16-l2,Liebe,love,Die Liebe spielt eine wichtige Rolle in der Geschichte.," ""Love plays an important role in the story."""
e16-l2,Zuschauer,audience member; viewer (male),Die Zuschauer waren begeistert von der Vorstellung.," ""The audience was thrilled by the performance."""
e16-l2,Zuschauerin,audience member; viewer (female),Die Zuschauerin hat eine Frage an den Regisseur.," ""The female viewer has a question for the director."""
e16-l2,tragisch,tragic,Hin und wieder wird es aber auch tragisch.," ""From time to time it also becomes tragic."""
e16-l2,wegen,because of; due to,Wegen des Regens bleiben wir zuhause.,"Because of the rain, we are staying home."
e16-l2,auf etwas basieren,to be based on something,"Ich glaube sogar, das Drehbuch basiert auf einem Roman."," ""I even believe the screenplay is based on a novel."""
e16-l2,ernst,serious,"Es ist eine Krimiserie, aber nicht so ernst.","It's a crime series, but not that serious."
e16-l3,sich gedulden,to be patient,"Du musst dich gedulden, bis der Film fertig ist.",You must be patient until the film is finished.
e16-l3,(bei etwas) mit|spielen,to act; to have a role (in a play or film),Ich habe sogar in einer Szene mitgespielt.,I even played a part in a scene.
e16-l3,Dekoration,decoration,Die Dekoration am Set war sehr aufwendig.,The decoration on the set was very elaborate.
e16-l3,Bühnenbildnerin,set designer (female),Die Bühnenbildnerin war sehr kreativ.,The set designer was very creative.
e16-l3,Autogramm,autograph,"Ich will ’n Autogramm, bevor du berühmt bist.",I want an autograph before you are famous.
e16-l3,Bühnenbildner,set designer (male),Der Bühnenbildner hat die Kulissen entworfen.,The set designer designed the sets.
e16-l3,Beleuchterin,lighting technician (female),Die Beleuchterin hat für gutes Licht gesorgt.,The lighting technician ensured good lighting.
e16-l3,Beleuchter,lighting technician (male),Der Beleuchter hat die Scheinwerfer aufgestellt.,The lighting technician set up the spotlights.
e16-l3,Verfolgungsjagd,chase; pursuit,Es war das Ende einer Verfolgungsjagd.,It was the end of a chase.
e16-l3,Ente,duck,Auf dem See schwamm eine Ente.,A duck was swimming on the lake.
e16-l3,Talent,talent,Ich hab sehr viel Talent.,I have a lot of talent.
e16-l3,erschöpft (sein),(to be) worn out; (to be) tired,Der Kommissar ist erschöpft und rennt in einen Fußgänger.,The commissioner is worn out and runs into a pedestrian.
e16-l3,Wäscheleine,clothesline,Die Wäsche hängt an der Wäscheleine.,The laundry hangs on the clothesline.
e16-l3,Studio,studio,Das Studio ist gut ausgestattet.,The studio is well equipped.
e16-l3,Aufnahmeleiter,line producer (male),Der Aufnahmeleiter hat den Drehplan organisiert.,The line producer organized the shooting schedule.
e16-l3,Aufnahmeleiterin,line producer (female),Die Aufnahmeleiterin war für die Budgetplanung verantwortlich.,The line producer was responsible for the budget planning.
e16-l3,rennen,to run; race,Der Kommissar ist erschöpft und rennt in einen Fußgänger.,The commissioner is exhausted and runs into a pedestrian.
e16-l3,Gerät,machine; device,Das Gerät ist sehr kompliziert zu bedienen.,The machine is very complicated to operate.
e16-l3,Fußgängerin,pedestrian (female),Die Fußgängerin wartete an der Ampel.,The pedestrian (female) waited at the traffic light.
e16-l3,gespannt sein,to be excited; to be curious; to be tense,"Ich bin gespannt, wie der Film wird.",I am curious how the film will turn out.
e16-l3,Fußgänger,pedestrian (male),Ich bin der Fußgänger.,I am the pedestrian.
e16-l3,Star,celebrity; star,"Nico, der Star.","Nico, the star."
e16-l3,Hocker,stool; bar stool,Er saß auf einem Hocker und trank ein Bier.,He sat on a stool and drank a beer.
e16-l3,Filmstudio,movie studio; film studio,Die Serie wurde in einem großen Filmstudio gedreht.,The series was filmed in a large film studio.
e16-l3,Filmproduktion,film production,Ich habe bei einer Filmproduktion mitgearbeitet.,I worked on a film production.
e16-l3,Filmkulisse,film set; backdrop,Die Filmkulisse war sehr beeindruckend.,The film set was very impressive.
e16-l3,Ablauf,process; procedure,Der Ablauf der Dreharbeiten war sehr organisiert.,The process of filming was very organized.
e16-l3,Filmklappe,clapperboard,Das ist eine Filmklappe. Ich hab sie von meinem Chef geschenkt bekommen.,This is a clapperboard. I got it as a gift from my boss.
e16-l3,etwas überprüfen,to check something; to double-check something,Wir müssen den Plan noch einmal überprüfen.,We need to double-check the plan.
e16-l3,jemanden erwischen,to catch someone,Er rennt weiter und erwischt am Ende den Gangster dank meiner Hilfe.,He runs further and catches the gangster at the end thanks to my help.
e16-l4,Gewinnerin,winner (female),Sie ist die Gewinnerin des Preises.,She is the winner of the prize.
e16-l4,Nase rümpfen,to wrinkle (your) nose,"Sie rümpfte die Nase, als sie das Essen sah.",She wrinkled her nose when she saw the food.
e16-l4,Gewinner,winner (male),Er ist der Gewinner des Wettbewerbs.,He is the winner of the competition.
e16-l4,sich etwas durchlesen,to read something,Ich muss mir das noch mal durchlesen.," ""I need to read through that again."""
e16-l4,Hand heben,to raise (your) hand,"Wenn du eine Frage hast, heb bitte deine Hand.","If you have a question, please raise your hand."
e16-l4,Nebenrolle,minor part,Er hat eine Nebenrolle im Theaterstück gespielt.,He played a minor part in the play.
e16-l4,Hauptrolle,leading role; main character,Er spielt die Hauptrolle in dem neuen Film.,He plays the leading role in the new movie.
e16-l4,Schauspieler,actor (male),Ich könnte Schauspieler werden.,I could become an actor.
e16-l4,Verleihung,presentation; award ceremony,Die Verleihung findet am Abend statt.,The award ceremony will take place in the evening.
e16-l4,etwas verleihen,to award something (to somebody),Der Bürgermeister verlieh ihm den Preis.,The mayor awarded him the prize.
